cv_etendu_normalise,metier
Cours avancé sur la sécurité des bases de données relationnelles. Collaboration avec les développeurs pour la conception de schémas. Capacité à travailler en équipe dans des environnements agiles. Bonne communication écrite et orale en français et en anglais. Migration de bases de données vers des environnements cloud. Implémentation de sauvegardes automatisées hebdomadaires. Formation certifiante Oracle Database 12c. Participation active à des projets open source. Intégration d'une base de données NoSQL pour une application mobile. Optimisation des requêtes SQL pour de meilleures performances. Mise en place de processus d'intégration continue. Développement de procédures stockées pour automatiser les imports massifs.,Administrateur de base de données
Solide compréhension de la sécurité informatique. Optimisation des requêtes SQL pour de meilleures performances. Optimisation des requêtes SQL pour de meilleures performances. Expérience dans la rédaction de documentation technique. Capacité à travailler en équipe dans des environnements agiles. Certification PostgreSQL pour les professionnels. Optimisation des performances des requêtes SQL sur des bases volumineuses. Gestion des incidents et monitoring avec des outils comme Zabbix et Nagios. Audit de sécurité sur un système de gestion documentaire. Capacité d’adaptation dans des contextes multiculturels. Cours avancé sur la sécurité des bases de données relationnelles. Capacité à auditer et documenter des architectures de bases complexes.,Administrateur de base de données
Optimisation des requêtes SQL pour de meilleures performances. Gestion des incidents et monitoring avec des outils comme Zabbix et Nagios. Diplôme d'ingénieur en systèmes informatiques. Capacité d’adaptation dans des contextes multiculturels. Projet de centralisation des logs de base de données via ELK stack. Participation à des audits de performance des systèmes. Assurance de la cohérence et de l'intégrité des données. Cours avancé sur la sécurité des bases de données relationnelles. Esprit d’analyse et rigueur dans la résolution de problèmes. 3 ans d'expérience en administration de bases de données Oracle et MySQL. Optimisation des requêtes SQL pour de meilleures performances. Compétence en gestion de projets informatiques.,Administrateur de base de données
Cours avancé sur la sécurité des bases de données relationnelles. Esprit d’analyse et rigueur dans la résolution de problèmes. Implémentation de sauvegardes automatisées hebdomadaires. Participation à des audits de performance des systèmes. Maintenance quotidienne des bases Oracle et MySQL. Restauration de bases après sinistre. Développement de procédures stockées pour automatiser les imports massifs. Participation à la migration d'une base Oracle vers PostgreSQL. Capacité d’adaptation dans des contextes multiculturels. 3 ans d'expérience en administration de bases de données Oracle et MySQL. Capacité à auditer et documenter des architectures de bases complexes. Mise en place de processus d'intégration continue.,Administrateur de base de données
Bonne communication écrite et orale en français et en anglais. Création de scripts de maintenance pour automatiser les backups. Expérience dans la rédaction de documentation technique. Gestion des incidents et monitoring avec des outils comme Zabbix et Nagios. Mise en place de politiques de sécurité et de gestion des accès utilisateurs. Participation active à des projets open source. Gestion des utilisateurs et des privilèges. Participation à des audits de performance des systèmes. Formation continue sur la haute disponibilité des bases de données. Solide compréhension de la sécurité informatique. Mise en place de politiques de sauvegarde et de récupération. Maîtrise des outils de virtualisation et de conteneurisation.,Administrateur de base de données
Optimisation des requêtes SQL pour de meilleures performances. Création de scripts de maintenance pour automatiser les backups. Expérience dans le support technique aux utilisateurs. Capacité d’adaptation dans des contextes multiculturels. Esprit d’analyse et rigueur dans la résolution de problèmes. Formation continue sur la haute disponibilité des bases de données. Support aux développeurs pour la modélisation des schémas de base. Mise en place de politiques de sécurité et de gestion des accès utilisateurs. Expérience avec les systèmes Linux pour l'hébergement de bases. Mise en place de politiques de sauvegarde et de récupération. Écriture de scripts PL/SQL pour l’automatisation. Participation active à des projets open source.,Administrateur de base de données
"3 ans d'expérience en administration de bases de données Oracle et MySQL. Maintenance quotidienne des bases Oracle et MySQL. Gestion des utilisateurs et des privilèges. Projet de centralisation des logs de base de données via ELK stack. Restauration de bases après sinistre. Participation à des audits de performance des systèmes. Participation active à des projets open source. Capacité à travailler en équipe dans des environnements agiles. Licence en informatique, option Systèmes d'information. Maîtrise des systèmes d’exploitation Linux et Windows. Audit de sécurité sur un système de gestion documentaire. Implémentation de sauvegardes automatisées hebdomadaires.",Administrateur de base de données
Formation continue sur la haute disponibilité des bases de données. Maintenance quotidienne des bases Oracle et MySQL. Optimisation des requêtes SQL pour de meilleures performances. Connaissance approfondie des bases de données relationnelles. Gestion des incidents et monitoring avec des outils comme Zabbix et Nagios. Supervision de bases critiques pour une banque en ligne. 3 ans d'expérience en administration de bases de données Oracle et MySQL. Mise en place de processus d'intégration continue. Réduction des temps de réponse des requêtes critiques de 40%. Gestion des utilisateurs et des privilèges. Expérience avec les systèmes Linux pour l'hébergement de bases. Capacité d’adaptation dans des contextes multiculturels.,Administrateur de base de données
Optimisation des requêtes SQL pour de meilleures performances. Capacité à auditer et documenter des architectures de bases complexes. Maintenance quotidienne des bases Oracle et MySQL. Mise en place de politiques de sauvegarde et de récupération. Supervision de bases critiques pour une banque en ligne. Projet de centralisation des logs de base de données via ELK stack. Maîtrise des outils de virtualisation et de conteneurisation. Gestion des incidents et monitoring avec des outils comme Zabbix et Nagios. Bonne communication écrite et orale en français et en anglais. Optimisation des performances des requêtes SQL sur des bases volumineuses. Certification PostgreSQL pour les professionnels. Formation continue sur la haute disponibilité des bases de données.,Administrateur de base de données
"Bonne communication écrite et orale en français et en anglais. Expérience dans la rédaction de documentation technique. Utilisation de pgAdmin, MySQL Workbench, Oracle SQL Developer. Support aux développeurs pour la modélisation des schémas de base. Solide compréhension de la sécurité informatique. Mise en place de politiques de sauvegarde et de récupération. Migration de bases de données vers des environnements cloud. Optimisation des requêtes SQL pour de meilleures performances. Mise en place de processus d'intégration continue. Maîtrise des outils de virtualisation et de conteneurisation. Expérience avec les systèmes Linux pour l'hébergement de bases. Licence en informatique, option Systèmes d'information.",Administrateur de base de données
Participation à des audits de performance des systèmes. Formation continue sur les technologies émergentes. Esprit d’analyse et rigueur dans la résolution de problèmes. Maintenance quotidienne des bases Oracle et MySQL. Automatisation de tâches avec Bash et Python. Responsable de la sauvegarde et restauration des données sous PostgreSQL. Mise en place de processus d'intégration continue. Expérience dans le support technique aux utilisateurs. Connaissance approfondie des bases de données relationnelles. Maintenance quotidienne des bases Oracle et MySQL. Cours avancé sur la sécurité des bases de données relationnelles. Intégration d'une base de informations NoSQL pour une application mobile.,Administrateur de base de données
